fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
11.13,0.58,0.17,2.33,0.146,17.5,52.4,0.99948,3.33,0.64,8.4,4
10.58,0.894,0.43,1.42,0.094,9.8,44.0,0.99609,3.29,0.78,10.6,5
9.17,0.385,0.04,2.45,0.238,4.6,7.5,0.99547,3.12,0.65,11.4,6
5.5,0.65,0.58,2.99,0.153,10.6,29.8,0.99784,3.49,0.75,9.9,6
9.59,0.12,0.58,6.37,0.114,3.7,6.0,0.99641,3.32,0.76,10.7,7
9.6,0.475,0.0,6.26,0.073,18.4,62.5,0.99856,3.45,0.59,9.3,6
7.73,0.533,0.14,8.36,0.226,17.4,49.1,0.99859,3.11,0.51,9.7,5
6.84,0.69,0.17,2.94,0.102,7.4,34.3,0.99737,3.2,0.76,10.1,6
9.43,0.414,0.51,3.14,0.079,10.6,32.7,0.99701,3.47,0.67,10.0,6
10.15,0.836,0.51,1.22,0.117,1.5,12.7,0.99757,3.28,0.5,9.6,6
6.26,0.392,0.37,1.42,0.199,19.5,59.0,0.99839,3.06,0.63,8.4,4
5.76,0.593,0.09,0.96,0.075,15.7,43.0,0.99718,3.22,0.58,9.7,6
8.66,0.797,0.23,1.57,0.081,29.0,89.2,0.99748,3.23,0.61,8.4,4
7.7,0.796,0.25,3.73,0.075,8.9,30.9,0.99514,,0.33,10.7,6
8.77,0.886,0.29,2.64,0.25,10.7,21.3,0.99809,3.31,0.56,8.7,5
10.32,0.698,0.29,5.24,0.145,19.2,62.3,0.99727,3.4,0.57,9.7,6
8.28,0.711,0.13,1.24,0.101,17.6,52.4,0.997,3.42,0.64,10.6,5
7.87,0.64,0.16,0.9,0.071,5.8,36.7,0.99675,3.45,0.77,10.7,7
8.33,0.325,0.35,2.44,0.159,18.2,64.9,0.9988,3.45,0.72,9.2,6
8.27,0.7,0.37,3.68,0.142,11.5,39.4,0.99615,3.29,0.54,11.0,6
9.31,0.47,0.46,1.71,0.152,23.4,77.7,0.99506,3.32,0.85,10.1,7
9.2,0.653,0.26,0.96,0.097,33.0,82.1,0.99596,3.3,0.83,11.0,6
11.19,0.505,0.52,0.9,0.046,12.7,43.7,0.9986,3.16,0.5,9.0,6
9.32,0.587,0.41,2.14,0.131,4.4,18.0,0.99712,3.51,0.78,10.2,6
10.33,0.358,0.0,9.38,0.119,18.9,47.4,0.99853,3.15,0.65,9.0,5
8.67,0.159,0.4,5.4,0.258,10.3,36.3,0.99436,3.32,0.41,12.5,7
9.46,0.594,0.1,7.75,0.053,21.8,73.7,0.99817,3.1,0.55,9.1,5
10.65,0.583,0.0,1.51,0.083,7.3,12.0,0.99739,3.22,0.94,9.6,6
7.5,0.591,0.26,2.47,0.147,16.6,52.9,0.99418,3.33,0.59,10.7,7
7.81,0.456,0.2,2.71,0.083,9.7,37.7,0.99562,3.47,0.53,10.9,6
8.91,0.65,0.09,1.01,0.165,43.5,117.8,0.99815,3.27,0.55,9.2,5
8.51,0.455,0.1,1.25,0.125,30.0,107.7,0.99603,3.35,0.62,11.0,7
9.55,0.556,0.19,1.84,0.106,12.4,30.6,0.99668,3.2,0.88,11.0,6
8.0,0.359,0.0,1.87,0.195,10.0,25.3,0.99631,3.35,0.56,10.3,5
7.22,0.717,0.29,1.07,0.104,13.8,54.3,0.99672,3.3,0.41,9.5,5
10.46,0.375,0.32,1.91,0.101,26.9,50.3,0.99719,3.13,0.73,10.8,6
8.63,0.603,0.3,4.37,0.184,10.4,27.1,0.9978,3.35,0.35,10.3,5
10.33,0.699,0.26,2.1,0.158,13.6,59.1,0.99689,3.21,0.62,10.6,5
9.98,0.572,0.26,3.78,0.256,6.1,8.4,0.9971,3.32,0.51,10.4,5
7.58,0.691,0.0,3.9,0.077,31.1,93.0,0.99567,3.36,0.58,10.5,6
9.6,0.298,0.5,2.09,0.088,20.1,73.6,0.99637,3.31,0.96,10.9,7
9.52,0.639,0.37,1.48,0.077,20.9,64.1,0.99864,3.29,0.71,9.4,5
7.46,0.409,0.4,0.9,0.118,22.1,66.4,0.99744,3.35,0.62,9.5,7
8.49,0.719,0.18,1.67,0.091,23.1,79.6,0.99644,3.35,0.56,9.9,5
6.93,0.688,0.31,3.17,0.123,13.9,42.6,0.99777,3.42,0.46,10.6,6
8.34,0.563,0.29,2.21,0.09,27.4,91.8,0.99852,3.24,0.87,9.0,5
8.58,0.17,0.13,2.96,0.057,11.4,42.9,0.9978,3.3,0.51,8.9,5
7.95,0.424,0.41,3.17,0.218,22.2,82.5,0.99759,3.29,0.54,9.3,6
7.79,0.516,0.12,2.74,0.2,27.9,65.9,0.99697,3.45,0.49,11.2,6
8.17,0.515,0.36,1.48,0.198,12.0,29.9,0.99781,3.22,0.5,9.5,5
7.4,0.722,0.33,1.49,0.084,6.8,19.6,0.99772,3.29,0.59,9.6,6
10.25,0.397,0.43,3.79,0.059,10.5,30.8,0.99559,3.23,0.87,10.3,5
9.92,0.548,0.0,0.9,0.172,8.1,28.0,0.99615,3.24,0.57,10.8,5
8.36,0.374,0.5,3.03,0.106,6.4,23.2,0.9967,3.36,0.82,10.3,7
9.14,0.834,0.25,4.29,0.158,21.8,51.7,0.99808,3.14,0.57,9.5,5
9.46,1.002,0.16,1.61,,9.7,30.5,0.99847,3.2,0.58,8.9,6
9.54,0.767,0.43,3.9,0.074,6.9,16.0,0.99854,3.22,0.6,9.9,5
8.92,0.429,0.16,1.73,0.13,11.7,38.2,0.99853,3.27,0.75,8.9,6
8.79,0.628,0.23,2.34,0.142,5.0,21.4,0.99885,3.34,0.67,9.2,6
9.99,0.306,0.44,0.9,0.094,17.8,54.2,0.99695,3.31,0.55,9.9,6
5.98,0.821,0.06,4.19,0.152,53.2,176.9,0.99778,3.33,0.7,9.8,5
6.05,0.552,0.33,1.0,0.098,31.0,114.6,0.99807,3.18,0.74,9.1,5
9.08,0.606,0.38,1.49,0.158,11.7,32.5,0.99664,3.16,0.67,10.6,6
10.26,0.896,0.41,1.05,0.092,12.5,43.1,0.99797,3.21,0.68,8.4,4
8.57,0.811,0.44,3.65,0.137,8.3,23.3,0.99716,3.43,0.7,10.0,6
7.11,0.755,0.39,1.46,0.141,5.8,23.4,0.99587,3.28,0.76,10.3,5
8.01,0.547,0.49,1.33,0.123,15.2,57.4,0.99628,3.41,0.54,11.3,6
7.17,0.606,0.42,3.04,0.154,18.4,45.3,0.99757,3.32,0.75,10.8,6
7.83,0.725,0.4,1.73,0.177,18.3,49.0,0.9967,3.25,0.67,10.9,5
8.56,0.704,0.44,3.85,0.218,18.2,30.9,0.99453,3.21,0.56,11.6,6
6.87,0.75,0.21,1.51,0.179,11.4,31.4,0.99768,3.55,0.9,9.3,6
6.55,0.817,0.34,1.02,0.085,8.9,25.2,0.99907,3.35,0.67,9.0,5
8.52,0.553,0.51,2.3,0.082,12.4,47.3,0.99542,3.5,0.88,10.4,6
7.1,0.411,0.28,1.02,0.214,14.5,46.6,0.99579,3.42,0.78,10.1,6
5.89,0.635,0.26,2.36,0.093,28.5,66.5,0.99734,3.42,0.7,10.6,6
9.73,0.41,0.17,3.88,0.093,15.6,70.5,0.99771,3.36,0.83,10.3,5
6.8,0.485,0.28,1.4,0.075,7.2,19.6,0.99881,3.37,0.72,9.0,6
8.63,0.236,0.27,1.12,0.122,9.0,29.7,0.99679,3.49,0.58,11.3,7
7.86,0.608,0.18,1.37,0.123,19.3,45.0,0.99797,3.32,0.83,9.7,5
8.25,0.859,0.0,5.06,0.115,3.0,16.1,0.99606,3.3,0.78,10.9,6
7.24,0.436,0.14,3.19,0.105,13.8,46.2,0.99708,3.43,0.48,9.6,5
8.33,0.683,0.2,1.08,0.314,6.3,6.0,0.99753,3.28,0.71,10.5,7
9.63,0.434,0.4,4.38,0.097,20.3,50.7,0.99912,3.33,0.79,9.5,6
7.82,0.436,0.29,4.79,,26.8,104.4,0.99818,3.32,0.54,9.1,5
6.37,0.385,0.5,2.58,0.111,11.2,58.8,0.99613,3.25,0.66,10.3,6
5.92,0.369,0.16,1.71,0.093,6.0,16.0,0.99629,3.47,0.6,10.9,6
6.33,0.571,0.59,1.02,0.063,36.7,124.4,0.9979,3.35,0.64,9.0,5
9.18,0.707,0.17,0.9,0.198,4.4,13.4,0.99625,3.46,0.79,10.2,6
7.96,0.721,0.6,1.18,0.192,9.6,44.0,0.99841,3.6,0.63,8.4,5
6.76,0.634,0.38,0.9,0.059,69.5,176.8,0.99687,3.31,0.64,9.8,7
4.75,0.563,0.38,1.98,0.12,8.9,33.8,0.99791,3.21,0.56,10.3,6
6.53,0.605,0.22,3.77,0.163,17.8,41.7,0.99719,3.29,0.86,11.1,6
8.13,0.732,0.49,1.62,0.064,13.5,36.1,0.9975,3.13,0.57,10.5,6
9.1,0.635,0.51,1.79,0.182,17.8,43.9,1.00003,3.3,0.63,8.5,5
10.66,1.005,0.36,2.74,0.126,16.3,38.9,0.99943,3.25,0.48,8.8,5
10.52,0.861,0.39,1.4,0.157,18.2,51.8,0.99735,3.43,0.7,10.2,5
7.36,0.826,0.31,3.49,0.181,35.5,120.9,0.99785,3.26,0.87,8.4,5
9.69,0.32,0.38,1.48,0.077,26.2,93.1,0.99586,3.29,0.7,10.6,8
7.26,0.573,0.52,1.22,0.064,13.1,37.4,0.99877,3.2,0.57,8.5,5
10.06,0.466,0.57,2.22,0.151,18.5,60.3,0.99855,3.46,0.48,9.1,5
7.52,0.481,0.06,1.21,0.084,18.7,57.8,0.99928,3.47,0.84,8.9,6
5.95,0.694,0.13,0.9,0.049,15.4,38.9,0.99966,3.52,0.84,9.8,6
6.43,0.615,0.38,3.17,0.06,40.7,127.0,0.99813,3.2,0.77,9.3,6
12.37,0.21,0.38,2.33,0.143,8.7,37.7,0.99656,3.28,0.8,11.0,7
5.89,0.747,0.38,1.26,0.113,19.0,51.6,0.99802,3.41,0.77,9.0,5
10.57,0.607,0.41,3.26,0.084,17.3,50.4,0.99752,3.22,0.46,10.6,5
10.18,0.382,0.29,2.69,0.074,31.0,79.4,0.99885,3.24,0.61,9.3,5
6.68,0.25,0.34,2.22,0.118,30.4,65.8,0.99873,3.29,0.55,8.4,5
7.82,0.646,0.23,1.77,0.192,13.1,47.9,0.99448,3.48,0.63,12.8,8
11.21,0.562,0.77,2.67,0.256,18.1,54.2,0.99798,3.22,0.51,9.0,6
9.76,0.48,0.49,3.96,0.124,11.3,35.6,0.9981,3.42,0.71,9.7,6
8.24,0.425,0.13,2.82,0.088,13.6,40.6,0.99549,3.22,0.47,11.0,7
4.79,0.712,0.29,2.02,0.255,8.4,22.4,0.99799,3.43,0.75,10.6,5
10.87,0.36,0.4,2.58,0.104,6.1,21.8,0.99948,3.23,0.84,8.6,6
4.74,0.843,0.23,2.98,0.094,13.6,62.0,1.0,3.35,0.79,9.1,5
7.23,0.623,0.02,1.09,0.09,14.8,56.1,0.99803,3.32,0.71,9.0,5
7.94,0.412,0.34,1.26,0.074,33.4,131.6,0.99892,3.39,0.39,9.7,5
7.19,0.419,0.03,1.16,0.104,25.9,49.2,0.99695,3.35,0.53,10.2,5
7.77,0.575,0.59,6.03,0.096,9.7,36.4,0.99773,3.27,0.53,10.0,6
9.92,0.621,0.22,1.94,0.09,40.6,103.5,0.99579,3.2,0.88,9.9,7
9.24,0.574,0.2,5.49,0.089,4.7,11.9,0.99871,3.35,0.57,9.6,5
8.03,0.58,0.32,3.86,0.083,8.7,32.9,0.99609,3.29,0.79,9.7,5
9.6,0.661,0.6,2.01,0.208,19.0,43.7,0.99722,3.22,0.66,8.5,5
7.57,0.574,0.02,0.9,0.077,35.4,117.8,0.9967,3.3,0.81,9.7,5
9.38,0.757,0.26,2.57,0.072,47.4,174.2,0.99791,3.32,0.65,9.0,5
6.23,0.799,0.25,1.71,0.203,21.4,61.9,0.99562,3.39,0.6,10.1,6
7.09,0.495,0.54,2.09,0.111,5.5,8.4,0.9982,3.4,0.74,9.0,5
7.2,0.468,0.31,3.21,0.16,5.1,6.0,0.99735,3.32,0.64,9.3,5
8.32,0.512,0.37,1.52,0.234,7.9,22.5,0.99828,3.46,0.5,9.0,5
7.93,0.606,0.22,1.29,0.078,11.9,33.6,1.00003,3.45,0.7,8.5,5
9.37,1.046,0.0,5.45,0.225,23.5,49.2,0.99962,3.26,0.54,8.4,3
6.94,0.642,0.57,4.33,0.082,7.8,8.5,0.99988,3.39,0.45,8.4,5
7.41,0.636,0.36,1.48,0.181,13.1,34.6,0.9969,3.22,0.81,10.5,5
8.48,0.517,0.41,0.9,0.144,41.4,148.4,0.9987,3.22,0.81,8.4,5
6.31,0.41,0.28,4.11,0.148,14.2,26.2,0.99841,3.41,0.63,8.5,6
7.78,0.723,0.41,1.51,0.136,26.3,68.8,0.99702,3.31,0.78,10.4,7
8.35,0.737,0.14,2.33,0.106,11.9,30.8,0.99801,3.31,0.39,10.8,6
8.2,0.819,0.5,1.77,0.111,8.5,31.0,0.99607,3.44,0.73,10.5,6
7.47,0.606,0.46,1.02,0.077,18.8,79.3,0.99768,3.36,0.77,10.0,6
6.57,0.84,0.12,7.19,0.093,15.0,56.7,0.99864,3.36,0.65,9.0,4
8.75,0.577,0.66,1.01,0.181,21.3,76.1,0.9966,3.3,0.72,10.1,6
11.17,0.839,0.17,3.7,0.155,7.8,10.8,0.9983,3.39,0.69,8.5,4
9.02,0.64,0.72,4.35,0.101,15.9,55.9,0.99682,3.43,0.61,9.2,7
7.76,0.497,0.38,1.24,0.113,3.9,11.8,0.99994,3.43,0.58,8.8,5
5.9,0.33,0.0,2.62,0.087,16.6,40.3,0.99883,3.28,0.39,8.5,6
7.46,0.624,0.23,0.9,0.114,11.8,49.4,0.99879,3.39,0.43,9.1,5
8.64,0.535,0.34,2.69,0.138,9.5,32.3,0.99759,3.25,0.6,9.4,5
8.49,0.633,0.3,4.02,0.088,5.9,6.0,0.99651,3.38,0.79,9.8,6
8.51,0.437,0.06,1.25,0.092,23.7,81.4,0.99872,3.31,0.72,9.3,6
7.34,0.618,0.06,2.31,0.158,14.0,39.5,0.99829,3.24,0.79,8.9,5
11.88,0.706,0.17,1.28,0.06,6.4,20.9,0.99716,3.23,0.67,9.9,6
10.7,0.893,0.15,7.09,0.167,16.2,37.5,0.99676,3.2,0.71,10.0,5
7.3,0.442,0.55,1.61,0.085,12.2,35.1,0.99666,3.37,0.54,10.9,6
5.99,0.599,0.31,4.47,0.082,17.6,33.7,0.99538,3.41,0.63,9.5,5
7.97,0.519,0.26,1.96,0.102,5.7,37.0,0.99811,3.51,0.62,9.6,6
9.43,0.488,0.26,2.24,0.144,26.3,88.1,0.99616,3.32,0.69,11.0,6
6.71,0.566,0.27,3.37,0.063,17.4,58.6,0.99747,3.43,0.7,10.1,5
5.89,0.411,0.6,1.39,0.087,27.0,98.8,0.99697,3.27,0.61,10.6,6
9.61,0.426,0.32,1.18,0.122,17.3,53.0,0.99755,3.39,0.84,10.0,6
8.64,0.953,0.42,2.75,0.074,10.1,19.7,0.99787,3.25,0.7,9.2,5
9.99,0.766,0.09,1.75,0.158,17.4,47.7,0.99823,3.1,0.63,9.0,6
7.58,0.607,0.45,2.28,0.145,18.2,66.1,0.99996,3.32,0.8,8.4,5
10.5,0.943,0.58,1.89,0.051,26.5,69.6,0.99655,3.22,0.56,10.8,5
9.76,0.328,0.59,1.42,0.141,12.3,42.3,0.99725,3.28,0.71,10.6,8
7.29,0.47,0.23,1.91,0.098,25.2,68.9,0.99813,3.29,0.53,9.1,5
10.98,0.588,0.4,3.69,0.182,19.7,49.8,0.99744,3.34,0.71,10.4,7
8.77,0.747,0.08,3.77,0.11,13.2,42.8,0.99756,3.33,0.99,9.9,5
11.37,0.547,0.61,1.36,0.089,29.1,71.6,0.99792,3.21,0.79,8.5,5
9.8,0.656,0.42,4.83,0.186,27.3,94.0,0.99701,3.33,0.72,10.3,6
6.93,0.568,0.0,2.13,0.139,21.7,82.0,0.99631,3.29,0.66,10.3,6
8.12,0.547,0.0,2.38,0.122,24.4,70.5,0.99701,3.37,0.6,9.9,5
9.09,0.674,0.23,3.71,0.148,29.2,95.5,0.9975,3.3,0.6,9.8,6
9.52,0.333,0.23,7.32,0.251,14.1,28.5,0.99707,3.22,0.65,10.0,6
5.43,0.648,0.0,1.82,0.097,11.4,21.4,0.99725,3.34,0.42,9.1,6
8.53,0.528,0.64,3.12,0.175,17.4,57.0,0.99557,3.37,0.77,10.1,7
7.95,0.612,0.48,1.1,0.076,11.9,39.8,0.9983,3.19,0.6,8.9,5
9.09,0.924,0.32,0.9,0.16,10.8,34.2,0.9982,3.42,0.78,9.0,5
7.31,0.729,0.36,0.9,0.184,24.9,87.1,0.99853,3.27,0.63,9.3,5
7.5,0.671,0.39,2.44,0.162,11.8,40.1,0.99566,3.33,0.45,10.4,6
9.57,0.392,0.53,2.83,0.036,37.5,115.9,0.99591,3.07,0.75,10.4,7
7.33,0.639,0.49,1.04,0.159,20.5,63.0,0.99844,3.36,0.83,8.4,5
8.99,0.791,0.47,3.9,0.178,19.1,65.9,0.99694,3.22,0.69,9.9,5
6.8,0.597,0.46,0.9,0.088,5.3,9.6,0.99601,3.41,0.54,11.2,6
7.19,0.692,0.34,9.0,0.16,21.9,33.9,0.99789,3.55,0.54,9.1,5
5.88,0.606,0.23,3.22,0.109,39.9,138.7,0.99558,3.42,0.47,11.6,5
8.32,0.396,0.0,1.09,0.131,15.9,43.8,0.99787,3.22,0.7,8.4,5
7.21,0.576,0.24,3.46,0.084,16.0,43.9,0.99962,3.23,0.61,9.1,7
10.4,0.474,0.54,1.56,0.131,6.9,34.1,0.99519,3.36,0.69,11.0,7
8.67,0.661,0.64,1.27,0.177,15.7,57.0,0.99851,3.21,0.85,9.5,6
8.6,0.771,0.55,2.68,0.061,7.6,24.5,0.99589,3.42,0.9,10.8,7
10.13,0.486,0.55,1.69,0.059,4.9,24.4,0.99518,3.37,0.56,10.7,5
10.39,0.578,0.63,5.53,0.087,8.2,13.4,0.99769,3.38,1.01,9.8,7
6.74,0.388,0.31,1.13,0.101,5.5,18.4,0.99795,3.46,0.58,8.9,5
9.33,0.501,0.32,2.98,0.074,15.0,55.4,0.99769,3.15,0.53,9.6,6
8.78,0.539,0.31,7.93,0.05,24.8,75.4,0.99669,3.33,0.77,11.2,7
9.77,0.503,0.26,0.97,0.217,26.8,79.6,0.99534,3.28,0.51,10.6,7
7.57,0.645,0.31,1.46,,13.8,42.0,0.99646,3.47,0.47,9.0,5
5.97,0.454,0.34,,0.14,28.6,90.2,0.99669,2.99,0.59,9.1,6
6.57,0.623,0.48,4.23,0.089,8.6,23.4,0.99689,3.22,0.59,9.4,6
7.03,0.62,0.05,9.98,0.127,16.4,59.9,0.99889,3.15,0.76,9.4,5
9.99,0.657,0.11,2.95,0.076,12.7,20.6,0.99537,3.16,0.76,10.5,6
11.02,0.357,0.45,4.95,0.083,21.0,68.9,0.99769,3.33,0.69,9.8,6
5.63,0.524,0.39,1.27,0.078,18.7,46.7,0.99711,3.31,0.73,9.9,6
9.62,0.382,0.7,3.6,0.12,7.0,21.5,0.9973,3.31,0.7,10.6,7
8.46,0.485,0.43,2.95,0.131,19.5,55.4,0.99754,3.17,0.61,8.6,6
7.01,0.55,0.34,2.28,0.132,16.9,65.4,0.9981,3.35,0.65,9.3,6
8.07,0.715,0.17,4.02,0.077,25.9,57.2,0.99817,3.31,0.68,9.3,4
8.92,0.655,0.13,0.9,0.153,15.3,48.7,0.999,3.39,0.53,9.4,6
5.73,0.482,0.14,5.03,0.114,14.4,38.6,0.99895,3.17,0.77,8.7,5
9.2,0.463,0.54,2.84,0.079,11.3,31.6,0.9984,3.43,0.66,10.1,6
10.46,0.502,0.58,6.1,0.068,14.6,57.5,0.99792,3.4,0.81,8.9,6
6.6,0.603,0.25,4.86,0.102,12.2,47.5,0.997,3.28,0.77,9.9,5
8.46,0.377,0.49,2.23,0.192,17.5,52.3,0.99627,3.06,0.74,9.8,7
7.6,0.297,0.43,1.77,0.102,11.1,35.0,0.99793,3.39,0.78,10.0,7
7.31,0.387,0.4,2.23,0.097,12.7,38.8,0.99588,3.29,0.72,10.6,6
8.33,0.523,0.0,1.84,0.154,9.9,35.1,0.99789,3.39,0.82,9.8,6
6.69,0.393,0.08,3.27,0.138,18.9,49.3,0.99741,3.3,0.67,10.4,6
5.86,0.674,0.28,3.91,0.086,15.0,65.5,0.99766,3.23,0.56,10.0,5
7.17,0.498,0.32,1.85,0.19,10.4,25.3,0.99785,3.42,0.93,10.1,6
9.37,0.5,0.28,1.36,0.083,28.8,93.4,0.99839,3.34,0.7,10.7,7
7.35,0.829,0.16,4.21,0.11,10.3,24.1,0.99812,3.17,0.52,9.3,5
8.71,0.608,0.4,1.84,0.328,13.5,23.8,0.9971,3.23,0.38,8.7,5
9.16,0.661,0.0,1.27,0.148,16.8,41.2,0.99582,3.38,0.54,9.5,5
8.69,0.572,0.3,2.28,0.095,19.1,59.6,0.99874,3.33,0.61,10.1,6
7.71,0.209,0.45,1.46,0.155,10.4,42.2,0.99677,3.36,0.87,9.5,6
8.89,0.556,0.47,2.0,0.07,4.4,8.9,0.99692,3.18,0.88,10.6,7
9.23,0.609,0.17,2.88,0.099,16.4,44.8,0.99995,3.17,0.75,9.4,5
7.49,0.755,0.33,10.55,0.174,14.5,20.0,0.99655,3.45,0.53,10.0,5
6.36,0.187,0.22,3.44,0.087,11.7,23.5,0.99467,3.32,0.65,12.0,8
4.6,0.692,0.38,0.9,0.092,8.5,18.7,0.99767,3.55,0.65,9.4,6
5.56,0.529,0.0,1.23,0.087,17.7,42.9,0.99829,3.43,0.86,8.5,6
8.32,0.691,0.53,1.96,0.101,14.3,28.3,0.99676,3.41,0.77,11.3,7
8.6,0.748,0.22,2.68,0.064,6.1,6.0,0.99677,3.45,0.64,11.4,6
10.57,0.777,0.14,1.62,0.188,9.4,31.5,0.9981,3.4,0.5,9.4,5
7.26,0.471,0.44,1.85,0.142,13.7,28.1,0.99956,3.37,0.66,8.8,5
8.24,0.327,0.38,2.42,0.282,21.3,79.3,0.99462,,0.81,10.2,6
7.41,0.278,0.2,1.66,0.156,42.0,127.8,0.99615,3.27,0.64,11.1,6
8.95,0.528,0.11,1.3,0.176,31.8,113.6,0.99904,3.29,0.64,9.5,5
8.05,0.598,0.39,3.56,0.072,8.8,18.4,0.99822,3.36,0.73,8.8,6
8.82,0.803,0.18,3.52,0.088,32.4,114.3,0.99596,3.5,0.6,10.9,5
8.49,0.673,0.25,3.63,0.267,16.5,46.9,0.99745,3.13,0.74,9.8,6
7.02,0.54,0.42,1.96,0.115,9.6,23.8,0.99799,3.19,0.37,9.0,5
6.36,0.692,0.32,3.79,0.109,33.2,93.6,0.99941,3.36,0.62,8.5,4
8.93,0.642,0.0,1.18,0.189,3.1,17.6,0.99793,3.32,0.48,10.8,6
6.82,0.456,0.18,2.15,0.147,11.9,36.4,0.99838,3.46,0.66,8.5,4
9.48,0.507,0.17,2.47,0.129,17.5,70.5,0.99604,3.26,0.61,10.9,6
11.46,0.845,0.1,1.45,0.076,13.1,39.6,0.99799,3.37,0.63,9.4,5
5.83,0.531,0.78,2.5,0.135,13.9,43.0,0.99803,3.44,0.57,9.2,5
7.89,0.575,0.21,3.81,0.046,19.4,44.4,0.99747,3.21,0.82,9.8,5
9.58,0.608,0.2,1.9,0.17,18.0,47.9,0.99597,3.23,0.62,10.2,5
9.25,0.65,0.56,1.59,0.167,9.5,37.1,0.99723,3.34,0.83,9.8,7
11.15,0.375,0.17,3.02,0.245,16.1,35.9,0.99855,3.19,0.65,9.2,5
8.16,0.593,0.55,2.23,0.12,9.0,33.6,0.99601,3.49,0.55,10.5,6
9.11,0.748,0.24,5.04,0.04,2.6,6.0,0.99707,3.45,0.69,9.6,6
9.83,0.462,0.0,3.35,0.132,20.5,55.2,0.99765,3.2,0.8,9.0,5
7.44,1.131,0.74,1.62,0.113,23.6,71.4,0.99784,3.2,0.75,9.0,5
8.54,0.551,0.34,2.7,0.253,20.6,54.5,0.99679,3.22,0.93,10.7,7
7.9,0.35,0.0,1.62,0.112,11.3,20.9,0.9973,3.38,0.76,10.3,6
10.06,0.595,0.44,2.12,0.121,23.4,72.3,0.99922,3.13,0.52,8.4,5
9.57,0.515,0.26,1.2,0.122,9.2,24.4,0.9971,3.27,0.42,10.4,5
8.34,1.113,0.0,2.43,0.084,7.3,17.2,1.00026,3.32,0.55,8.4,5
9.36,0.72,0.32,,0.237,2.6,11.3,0.99779,3.22,0.43,9.1,5
6.46,0.891,0.44,1.9,0.238,13.0,30.5,0.9983,3.34,0.72,8.7,5
7.29,0.535,0.0,2.31,0.055,46.1,132.5,0.99704,3.41,0.56,9.9,5
8.16,0.441,0.04,1.31,0.276,6.1,33.9,0.99412,3.29,0.66,11.6,6
8.14,0.847,0.11,2.54,0.102,15.6,40.1,0.99665,3.44,0.76,11.0,6
9.93,0.664,0.48,1.13,0.134,14.0,27.8,0.99852,3.14,0.77,9.9,5
8.03,0.923,0.0,2.14,0.099,10.2,27.8,0.99728,3.19,0.59,10.2,4
8.18,0.354,0.3,1.55,0.07,15.7,33.7,0.9959,3.18,0.67,10.6,6
8.47,0.813,0.12,3.66,0.162,17.0,45.5,0.99804,3.56,0.48,8.6,5
7.84,0.68,0.55,1.18,0.049,16.0,39.8,0.99722,3.29,0.87,10.3,6
8.48,0.577,0.42,3.66,0.098,8.1,29.4,0.99826,3.3,0.68,9.1,5
7.36,0.428,0.19,0.9,0.11,6.2,20.3,0.99877,3.24,0.53,8.7,5
11.82,0.638,0.29,1.91,0.144,12.1,15.5,0.9967,3.13,0.85,11.6,6
5.27,0.744,0.23,1.85,0.179,10.2,26.6,0.99562,3.49,0.67,11.0,6
7.71,0.574,0.4,2.89,0.233,18.2,39.9,0.99577,3.31,0.5,11.1,5
8.25,1.017,0.26,1.47,0.107,21.5,57.0,0.99555,3.15,0.67,10.7,6
9.47,0.848,0.56,5.44,0.181,12.8,31.3,0.99661,3.12,0.8,10.1,6
5.97,0.803,0.11,3.49,0.121,10.3,22.5,0.99719,3.57,0.36,10.0,5
7.36,0.717,0.59,2.53,0.081,16.1,48.9,0.99639,3.31,0.57,10.3,6
11.34,0.732,0.0,3.44,0.283,5.3,6.0,0.99899,3.22,0.6,8.9,5
7.42,0.744,0.21,4.12,0.144,15.6,46.6,0.99957,3.33,0.62,8.4,5
9.23,0.803,0.35,0.9,0.072,15.7,50.0,0.99731,3.41,0.83,9.8,5
7.41,0.549,0.0,2.27,0.1,10.9,24.0,0.99777,3.31,0.69,9.3,6
7.03,0.614,0.32,1.03,0.17,20.1,56.4,0.99633,3.27,0.69,10.0,8
9.3,0.573,0.0,3.82,0.116,27.1,87.1,0.99852,3.22,0.47,8.4,5
10.17,0.59,0.44,0.9,0.072,9.4,28.0,0.9969,3.37,0.51,10.4,7
10.39,0.309,0.18,2.97,0.057,15.9,50.0,0.99799,3.37,0.61,8.8,7
11.01,0.525,0.56,0.91,0.156,22.0,62.3,0.99813,3.32,0.69,9.2,6
8.28,0.75,0.36,4.5,0.058,18.5,68.0,0.99719,3.32,0.66,10.3,6
7.77,0.507,0.34,1.22,0.128,16.5,44.0,0.99608,3.29,0.83,11.6,6
5.71,0.442,0.29,1.95,0.078,8.9,30.7,0.99576,3.27,0.74,11.3,7
9.26,0.681,0.25,2.52,0.1,10.4,23.0,0.99603,3.3,0.73,11.2,6
8.76,0.567,0.26,2.29,0.071,9.7,25.9,0.99931,3.28,0.48,8.4,4
9.62,0.741,0.34,2.15,0.104,27.4,60.9,0.99884,3.21,0.44,9.2,6
9.12,0.649,0.33,0.9,0.151,42.3,90.3,0.99725,3.17,0.54,9.5,5
